"ID"	"CHISO"	"NGAY"	"GIAMOCUA"	"GIATRAN"	"GIASAN"	"GIADONGCUA"	"KHOILUONG"
297	"VNINDEX"	27-MAY-02 12.00.00.000000000 AM	206.3	206.3	206.3	206.3	18610
298	"VNINDEX"	28-MAY-02 12.00.00.000000000 AM	205.02	205.02	205.02	205.02	22140
299	"VNINDEX"	29-MAY-02 12.00.00.000000000 AM	203.65	203.65	203.65	203.65	17050
300	"VNINDEX"	30-MAY-02 12.00.00.000000000 AM	203.77	203.77	203.77	203.77	12860
301	"VNINDEX"	31-MAY-02 12.00.00.000000000 AM	207.12	207.12	207.12	207.12	13920
302	"VNINDEX"	03-JUN-02 12.00.00.000000000 AM	207.81	207.81	207.81	207.81	13180
303	"VNINDEX"	04-JUN-02 12.00.00.000000000 AM	205.68	205.68	205.68	205.68	7340
304	"VNINDEX"	05-JUN-02 12.00.00.000000000 AM	205.48	205.48	205.48	205.48	5390
305	"VNINDEX"	06-JUN-02 12.00.00.000000000 AM	205.07	205.07	205.07	205.07	8460
306	"VNINDEX"	07-JUN-02 12.00.00.000000000 AM	203.26	203.26	203.26	203.26	8460
307	"VNINDEX"	10-JUN-02 12.00.00.000000000 AM	204.88	204.88	204.88	204.88	8870
308	"VNINDEX"	11-JUN-02 12.00.00.000000000 AM	203.53	203.53	203.53	203.53	4000
309	"VNINDEX"	12-JUN-02 12.00.00.000000000 AM	203.79	203.79	203.79	203.79	7870
310	"VNINDEX"	13-JUN-02 12.00.00.000000000 AM	202.35	202.35	202.35	202.35	6550
311	"VNINDEX"	14-JUN-02 12.00.00.000000000 AM	200.75	200.75	200.75	200.75	11690
312	"VNINDEX"	17-JUN-02 12.00.00.000000000 AM	197.77	197.77	197.77	197.77	11800
313	"VNINDEX"	18-JUN-02 12.00.00.000000000 AM	195.59	195.59	195.59	195.59	7190
314	"VNINDEX"	19-JUN-02 12.00.00.000000000 AM	192.13	192.13	192.13	192.13	7630
315	"VNINDEX"	20-JUN-02 12.00.00.000000000 AM	193.32	193.32	193.32	193.32	18840
316	"VNINDEX"	21-JUN-02 12.00.00.000000000 AM	196.89	196.89	196.89	196.89	3300
317	"VNINDEX"	24-JUN-02 12.00.00.000000000 AM	200.5	200.5	200.5	200.5	3830
318	"VNINDEX"	25-JUN-02 12.00.00.000000000 AM	202.4	202.4	202.4	202.4	10620
319	"VNINDEX"	26-JUN-02 12.00.00.000000000 AM	200.5	200.5	200.5	200.5	18920
320	"VNINDEX"	27-JUN-02 12.00.00.000000000 AM	199.61	199.61	199.61	199.61	10810
